what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517318411993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318414896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318418720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318429115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318511215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517318514724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318522727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318525005
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1517318525052
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517318525192
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517318525223
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517318535285
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517318535285
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517318536529
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1517318543905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318544014
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1517318548121
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1517318548183
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1517318548215
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1517318548230
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1517318548246
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1517318549476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318549666
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1517318549681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1517318549681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318558121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318563598
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1517318563864
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517318564145
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517318564301
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517318565352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318569388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318575847
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517318576076
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517318576192
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517318582705
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517318583208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318598116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318659203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517318672051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517318674961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318677016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318686067
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517318687320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517318688880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318693928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318694488
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1517318694597
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517318694691
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517318694738
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1517318700763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318701492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318743459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318744638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318745164
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517318747321
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517318747321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318761362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318763363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318771576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318788737
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517318789890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517318791538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318795854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318842919
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517318844461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318845119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318847128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318848185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318854304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517318888245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318888573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318894761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318896731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318898023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517318913563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318914063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318915750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517318921685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318922153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318924330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517318927317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318927848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318930795
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517318932711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318933258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517318961867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517318967236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517319009856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517319016383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517319025191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517319094525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326951415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1517327017189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1517327017423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1517327017658
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1517327019593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517327021406
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517327023113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517327028020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517327028933
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517327033031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1517327087437
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517327089775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1517327091942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517327093375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517327094687
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517327096124
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517327100032
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517327130334
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517327289593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517327291047
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517327293921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327322515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327783675
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517327785371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517327787071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1517327800041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1517327800245
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517327804791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1517327809588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327814334
