what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1517334224181
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517334224275
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517334224400
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517334226651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334230312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334238633
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517334238774
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517334238894
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517334240502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334253003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334282215
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517334282351
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517334282445
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517334291994
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517334309094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517334334760
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517334338446
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517334340322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517334355556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334356213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334631615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334632258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334799805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517334811632
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517334816632
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517334820351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517334820976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334821778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334824344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334824776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334826149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334826443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334848411
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1517334853679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334879616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334881035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334884929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334885644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334886506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334888074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334911147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334912328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334917428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334918425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334923506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334924506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334929866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334931316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334937381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334938155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334948335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334951517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334952554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334954147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334955081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334956090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334961565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334965936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517334966607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335042922
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1517335064525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335068146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335068443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335070079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335073412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335131615
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517335135079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335138040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335152386
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517335153089
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517335153212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335159901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335161225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335168705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335169270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335172758
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335176082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1517335178860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335181954
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517335183659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335187101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335202881
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517335203065
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517335203232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335206252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335206670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335210577
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517335214174
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517335214436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335235145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335242286
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1517335242520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335244278
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517335271018
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517335271018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335275805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335276929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335277228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335382194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517335383582
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1517335396825
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1517335397028
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1517335397427
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1517335397489
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1517335397817
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1517335397817
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1517335400271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335411394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335426280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1517335459133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517335463071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335463941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335467862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1517335471488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335473072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335489880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335505916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335519424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335525428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517335527037
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335530387
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335547628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1517335555612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335565628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335578285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335594693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335619143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335631713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335634131
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1517335643332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335644831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335645237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335647289
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517335656657
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517335656657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335661730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335670373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517335673346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335674580
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1517335678064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335682872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335691176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335695421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335696133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335699278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335699897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335707785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517335711688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335712580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335723634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335743869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335748789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335750330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335756487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517335760519
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517335761522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335762673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335767528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335768037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335770388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517335771796
