what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1517348250993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1517348251722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1517348252774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1517348254764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1517348255316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517348256627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517348329711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517348355563
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1517348400992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348412518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348412721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517348415875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517348435500
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1517348442078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348445578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348445828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517348446856
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1517348460715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348463679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348463898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517348465844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517348469476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517348478235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517348485049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348501766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348584841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517348589157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1517348593234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1517348593890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1517348594359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517348602094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1517348627624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1517348640296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517348646656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517348667812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1517348686507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517348690733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348737264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348738929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348739358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348749402
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517348750769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348752921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348753858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348753920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348754521
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1517348754552
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517348761296
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517348761358
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517348779920
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517348779920
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517348781796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348782576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348783487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348784452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348790493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348791473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348792211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348792711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348862005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348917232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517348937614
