what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517343872522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517343872787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517343883212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517343884184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517343886342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517343908231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517343931557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517343933329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517343933596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517343946743
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517343959776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517343966355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517343969136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517343978651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517343984993
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517343985187
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517343985281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1517344005463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1517344070099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517344085056
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517344111494
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517344118775
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517344128964
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517344132261
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517344140022
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517344140072
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517344140072
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517344141416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517344147244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517344151014
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.moveResources",1517344151056
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.move",1517344151056
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517344152916
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517344155791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517344163416
