what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345568238
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517345571313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345573832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345574347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345574409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345574597
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1517345574628
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517345581376
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517345581454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345582373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345583048
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517345584517
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517345584517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345584642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345603916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345604189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345612640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345623704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345632956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1517345642426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1517345642598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517345643474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1517345653822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1517345654204
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1517345654621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1517345655006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517345657190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1517345675977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1517345681876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1517345694204
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517345696035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517345698254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345699063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345700203
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517345701313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345704391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345705667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345705781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345706688
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1517345706735
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517345713595
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517345713642
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517345715333
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517345715333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345715730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345819307
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517345828436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345845581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345856963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517345904191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517345908491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345917581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345920287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345920804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345922123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345922453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345926001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345942176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517345967740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1517345976507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517345991007
