what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517337300475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517337301643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517337302367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517337309038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517337314705
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517337324163
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517337324179
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517337326563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517337347329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517337353927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517337359828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517337361795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517337363180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517337386427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517337387627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517337451473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517337479335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517337490925
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517337501963
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517337501963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517337535042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517337558027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517337559362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517337564827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517337567042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517337575809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517337584120
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517337584139
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517337584323
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517337584410
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517337603921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1517337615162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517337616026
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517337625754
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517337625754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517337636712
