what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517455914782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517455923501
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517455982958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517455991262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456014914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456015050
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1517456015121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456015244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456016390
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1517456019734
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517456031521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517456056987
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1517456062407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456062420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456063166
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1517456070930
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517456073607
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1517456076905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456076914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456077420
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1517456082852
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517456084534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1517456107992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1517456108879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456129701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456130935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456131283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456168258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456168646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456174485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456184069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456634923
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517456637947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517456677559
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517456685205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456687657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456688746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456688782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456689412
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1517456689418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456694685
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517456695371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456695431
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517456695449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456706849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456709914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456710314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456720452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1517456723537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456724264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456754021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456783719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456799760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517456801632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517457501063
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517457502906
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1517457502906
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517457504567
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.ui",1517457512340
started,bundle,org.eclipse.wst.web.ui,1.1.500.v201111030500,"org.eclipse.wst.web.ui",1517457512349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517457514557
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.200.v201008182133,"org.eclipse.jst.common.project.facet.ui",1517457515087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517457526878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517457540199
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517457544486
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517457544552
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517457554320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517457556102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517457557319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517457557664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517457561757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517457565698
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517457568570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1517457616075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517457617200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1517457619766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1517457622119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517457622677
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517457633054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517457636419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517457667078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517457669136
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517457669229
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1517457669339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517457672177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517457681740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517457683401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517457684558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1517457686935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1517457688431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517457690256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517457696310
